Id,Label,0,1,2,3,4,5,6,7
AS45541,AS45541,VN_ASN,8.624,45541,Information Technology Center - Joint Stock Commercial Bank for Investment and Development of Vietnam,"AS45541
Information Technology Center - Joint Stock Commercial Bank for Investment and Development of Vietnam","#8E44AD",transit,
AS45542,AS45542,VN_ASN,8.208,45542,VietNam National University Ha Noi,"AS45542
VietNam National University Ha Noi","#BDC3C7",stub,
AS45543,AS45543,VN_ASN,10.704,45543,SaiGon Tourist cable Televition Company,"AS45543
SaiGon Tourist cable Televition Company","#8E44AD",transit,
AS45544,AS45544,VN_ASN,8.832,45544,SUPERDATA-VN,"AS45544
SUPERDATA-VN","#8E44AD",transit,
AS45546,AS45546,VN_ASN,8.832,45546,Gtel Mobile Joint Stock Company,"AS45546
Gtel Mobile Joint Stock Company","#8E44AD",transit,
AS45551,AS45551,VN_ASN,8.208,45551,HEINEKEN VIETNAM BREWERY LIMITED COMPANY,"AS45551
HEINEKEN VIETNAM BREWERY LIMITED COMPANY","#BDC3C7",stub,
AS45552,AS45552,VN_ASN,8.624,45552,METASERV COMPANY LIMITED,"AS45552
METASERV COMPANY LIMITED","#8E44AD",transit,
AS45553,AS45553,VN_ASN,8.416,45553,BAO VIET HOLDINGS InfinityORMATION TECHNOLOGY CENTER BRANCH,"AS45553
BAO VIET HOLDINGS InfinityORMATION TECHNOLOGY CENTER BRANCH","#8E44AD",transit,
AS45554,AS45554,VN_ASN,8.416,45554,Vietnam Internet network information center (VNNIC),"AS45554
Vietnam Internet network information center (VNNIC)","#8E44AD",transit,
AS45556,AS45556,VN_ASN,8.416,45556,Scancom Vietnam Ltd,"AS45556
Scancom Vietnam Ltd","#8E44AD",transit,
AS45557,AS45557,VN_ASN,9.04,45557,Vietnam Technology and Telecommunication JSC,"AS45557
Vietnam Technology and Telecommunication JSC","#8E44AD",transit,
AS45894,AS45894,VN_ASN,8.624,45894,FPT Online JSC,"AS45894
FPT Online JSC","#8E44AD",transit,
AS45896,AS45896,VN_ASN,12.576,45896,Mobifone Global JSC,"AS45896
Mobifone Global JSC","#E74C3C",transit,
AS45899,AS45899,VN_ASN,35.248,45899,Vietnam Posts and Telecommunications (VNPT),"AS45899
Vietnam Posts and Telecommunications (VNPT)","#E74C3C",transit,
AS45900,AS45900,VN_ASN,8.416,45900,Department of Infomatic - The State Bank of Viet Nam,"AS45900
Department of Infomatic - The State Bank of Viet Nam","#8E44AD",transit,
AS45901,AS45901,VN_ASN,8.624,45901,Vietnam Export Import Commercial JSC,"AS45901
Vietnam Export Import Commercial JSC","#8E44AD",transit,
AS45902,AS45902,VN_ASN,8.624,45902,Hai Phong Securities Company,"AS45902
Hai Phong Securities Company","#8E44AD",transit,
AS45903,AS45903,VN_ASN,28.8,45903,CMC Telecom Infrastructure Company,"AS45903
CMC Telecom Infrastructure Company","#E74C3C",transit,
AS55305,AS55305,VN_ASN,8.208,55305,ODS Joint Stock Company,"AS55305
ODS Joint Stock Company","#BDC3C7",stub,
AS55306,AS55306,VN_ASN,8.624,55306,Vietnam bank for Agriculture anh Rural Development,"AS55306
Vietnam bank for Agriculture anh Rural Development","#8E44AD",transit,
AS55307,AS55307,VN_ASN,8.416,55307,Asian Pacific Securitis Joint Stock Company,"AS55307
Asian Pacific Securitis Joint Stock Company","#8E44AD",transit,
AS55308,AS55308,VN_ASN,8.416,55308,Department of Information Technology and Digital Transformation - Ministry of Finance,"AS55308
Department of Information Technology and Digital Transformation - Ministry of Finance","#8E44AD",transit,
AS55309,AS55309,VN_ASN,10.496,55309,Minh Tu Telecom Limited Company,"AS55309
Minh Tu Telecom Limited Company","#8E44AD",transit,
AS55310,AS55310,VN_ASN,8.416,55310,KCS VIETNAM COMPANY LIMITED,"AS55310
KCS VIETNAM COMPANY LIMITED","#8E44AD",transit,
AS55311,AS55311,VN_ASN,8.624,55311,Loc Phat Vietnam Joint Stock Commercial Bank,"AS55311
Loc Phat Vietnam Joint Stock Commercial Bank","#8E44AD",transit,
AS55312,AS55312,VN_ASN,8.416,55312,Golden Dragon Company,"AS55312
Golden Dragon Company","#8E44AD",transit,
AS55313,AS55313,VN_ASN,8.416,55313,Hanel Communication JSC,"AS55313
Hanel Communication JSC","#8E44AD",transit,
AS55315,AS55315,VN_ASN,8.416,55315,SSI Securities Incorporation,"AS55315
SSI Securities Incorporation","#8E44AD",transit,
AS55316,AS55316,VN_ASN,8.416,55316,Saigon - Hanoi Commercial Joint Stock Bank,"AS55316
Saigon - Hanoi Commercial Joint Stock Bank","#8E44AD",transit,
AS55317,AS55317,VN_ASN,8.416,55317,"170 Hai Ba Trung, DaKao Ward, District 1, Hochiminh City","AS55317
170 Hai Ba Trung, DaKao Ward, District 1, Hochiminh City","#8E44AD",transit,
AS55318,AS55318,VN_ASN,8.832,55318,Asia Commercial Bank,"AS55318
Asia Commercial Bank","#8E44AD",transit,
AS55319,AS55319,VN_ASN,8.416,55319,VietNam Prosperity Joint Stock Commercial Bank,"AS55319
VietNam Prosperity Joint Stock Commercial Bank","#8E44AD",transit,
AS55320,AS55320,VN_ASN,8.416,55320,KNODE TECHNOLOGY COMPANY LIMITED,"AS55320
KNODE TECHNOLOGY COMPANY LIMITED","#8E44AD",transit,
AS55322,AS55322,VN_ASN,8.208,55322,North Power Company,"AS55322
North Power Company","#BDC3C7",stub,
AS55323,AS55323,VN_ASN,8.416,55323,Viet Nam Bank for Industry and Trade Securities JSC,"AS55323
Viet Nam Bank for Industry and Trade Securities JSC","#8E44AD",transit,
AS55324,AS55324,VN_ASN,8.416,55324,Premier Oil Viet Nam Offshore B.V,"AS55324
Premier Oil Viet Nam Offshore B.V","#8E44AD",transit,
AS56141,AS56141,VN_ASN,8.832,56141,Danang ICT Infrastructure Development Center,"AS56141
Danang ICT Infrastructure Development Center","#8E44AD",transit,
AS56142,AS56142,VN_ASN,8.208,56142,ZARUBEZHNEFT EP VIETNAM B.V.,"AS56142
ZARUBEZHNEFT EP VIETNAM B.V.","#BDC3C7",stub,
AS56144,AS56144,VN_ASN,8.416,56144,AIA Life Insurance Company limited,"AS56144
AIA Life Insurance Company limited","#8E44AD",transit,
AS56146,AS56146,VN_ASN,8.416,56146,Global informatics solution corporation,"AS56146
Global informatics solution corporation","#8E44AD",transit,
