asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member
131372,VIVAS-VN,VN,VIVAS-AS-VN,36223,1,1,2,0,0,0,True
131373,Information Technology Center - Ministry of Science and Technology,VN,MST-AS-VN,36223,1,5,2,0,0,0,True
131374,HQG Technology Solutions Joint Stock Company,VN,HQG-AS-VN,39683,1,1,1,0,0,0,True
131375,Information Technology Center - Ministry of Science and Technology,VN,MST-AS-VN,36223,1,5,2,0,0,0,True
131376,KB Securities Vietnam Joint Stock Company,VN,KBSV-AS-VN,49862,1,1,2,0,0,0,True
131377,"DIGIPOWER CO., LTD",VN,DIGIPOWER-AS-VN,78608,1,0,0,0,0,0,False
131378,Cloud Viet Technology Company Limited,VN,CLOUDVIET-AS-VN,30631,1,4,1,0,0,0,True
131379,Modern Bank of Vietnam Limited,VN,MBV-VN,35029,1,4,3,0,0,0,True
131380,Niteco VN,VN,NITECO-AS-VN,36223,1,6,2,0,0,0,True
131381,Department of Information Technology and Customs Statistics,VN,TCHQ-VN,36223,1,1,2,0,0,0,True
131382,CFOX TECH COMPANY LIMITED,VN,CFOX-VN,39683,1,4,1,0,0,0,True
131383,PVI Holdings,VN,PVI-AS-VN,34547,1,4,4,0,0,0,True
131384,Viet Solutions Services Trading Company Limited,VN,VHOST-AS-VN,78608,1,0,0,0,0,0,False
131385,VTV-VN,VN,VTV-AS-VN,39683,1,1,1,0,0,0,True
131386,Long Van System Solution JSC,VN,LVSS-AS-VN,18206,1,9,4,0,0,0,True
131387,Sun Life Vietnam Insurance Company Limited,VN,PVISL-AS-VN,49862,1,2,2,0,0,0,True
131388,VIET NAM HT GROUP JOINT STOCK COMPANY,VN,HTS-AS-VN,78608,1,0,0,0,0,0,False
131389,SeABank,VN,SEABANK-AS-VN,45422,1,2,2,0,0,0,True
131390,Center for E-commerce and Digital Technology Development,VN,ECOMDX-VN,36223,1,5,2,0,0,0,True
131391,Vietnam-Asia Commercial Joint Stock Bank,VN,VAB-AS-VN,36223,1,4,2,0,0,0,True
131392,GMO-Z.com Runsystem Joint Stock Company,VN,RUNSYSTEM-AS-VN,15699,1,14,3,0,0,0,True
131393,Minh Phat Telecomunication service Company Limited,VN,MINHPHAT-AS-VN,78608,1,0,0,0,0,0,False
131394,,VN,AS131394,78608,1,0,0,0,0,0,False
131395,Van phong Dieu phoi Nong thong moi Trung uong,VN,VPDPTW-AS-VN,78608,1,0,0,0,0,0,False
131396,Rmit International University Vietnam,VN,RUVN-AS-VN,30198,1,6,2,0,0,0,True
131397,Hanoi Medical University,VN,HMU-AS-VN,39683,1,1,1,0,0,0,True
131398,LOTTE INNOVATE VIETNAM COMPANY LIMITED,VN,LDCC-AS-VN,36223,1,5,2,0,0,0,True
131399,AI-Solutions Company Limited,VN,AI-SOL-AS-VN,78608,1,0,0,0,0,0,False
131400,Global Data Joint Stock Company,VN,GDATA-AS-VN,78608,1,0,0,0,0,0,False
131401,Department of Science and Technology of Vinh Phuc province,VN,SOTTTTVP-VN,39683,1,1,1,0,0,0,True
131402,FPT Software Company limited,VN,FPTSOFTWARE-AS-VN,27027,1,8,2,0,0,0,True
131403,ICSOFT Joint Stock Company,VN,ICSOFT-AS-VN,11005,2,6,1,0,1,2,True
131404,Masters Technology Corporation,VN,VIETNAMHOST-AS-VN,39683,1,1,1,0,0,0,True
131405,Saigon Newport,VN,TANCANGSG-AS-VN,36223,1,4,2,0,0,0,True
131406,CTC Media Technology Apply Joint Stock Company,VN,CTC-AS-VN,78608,1,0,0,0,0,0,False
131407,Sai Gon CTT,VN,SGCTT-AS-VN,39683,1,1,1,0,0,0,True
131408,TPBANK-VN,VN,TPBANK-AS-VN,36223,1,4,2,0,0,0,True
131409,ACT Telecomunication Joint Stock Company,VN,ACT-AS-VN,49862,1,3,2,0,0,0,True
131410,Vietnam Cable Television Corporation Joint Stock Company,VN,VTVCAB-AS-VN,27816,1,10,1,0,0,0,True
131411,VietNamNet,VN,VIETNAMNET-AS-VN,39683,1,1,1,0,0,0,True
131412,State Audit Office of Vietnam,VN,SAV-AS-VN,35029,1,4,3,0,0,0,True
131413,VINGROUP JOINT STOCK COMPANY,VN,VINGROUP-AS-VN,29173,1,8,2,0,0,0,True
131414,Long Van Soft Solution JSC,VN,LVSOFT-AS-VN,23963,1,3,2,0,0,0,True
131415,Vietnam Internet network information center (VNNIC),VN,VNNIC-AS-VN,36223,1,1,2,0,0,0,True
131416,Cloudone Technology Company Limited,VN,CLOUDONE-AS-VN,78608,1,0,0,0,0,0,False
131417,Vietnam National Coaland Mineral Industries Holding Corporation Limited,VN,VINACOMIN-AS-VN,67211,1,1,1,0,0,0,True
131418,SHOPEEPAY JOINT STOCK COMPANY,VN,SHOPEEPAY-VN,3512,7,52,4,0,6,10,True
131419,NATIONAL PAYMENT CORPORATION OF VIET NAM,VN,NAPAS-VN,36223,1,2,2,0,0,0,True
131420,,VN,AS131420,78608,1,0,0,0,0,0,False
131421,"Intercom Telecom., JSC",VN,INTERCOM-VN,3228,8,24,2,0,7,9,True
131422,"Center for Digital Transformation of Culture, Sports and Tourism - Ministry of Culture, Sports and Tourism",VN,DTCCST-MCST-VN,54093,1,2,1,0,0,0,True
131423,Branch of Long Van System Solution JSC - Hanoi,VN,LVHN-AS-VN,9286,2,15,3,0,1,2,True
131424,Online Solution Company Limited,VN,ESC-AS-VN,78608,1,0,0,0,0,0,False
131425,The gioi di dong jsc,VN,TGDD-AS-VN,36223,1,4,2,0,0,0,True
131426,MISA-VN,VN,MISA-VN-AS,39683,1,5,1,0,0,0,True
131427,AOHOAVIET-VN,VN,AOHOAVIET-VN-AS,27816,1,8,1,0,0,0,True
131428,Rainbow E-Commerce Company Limited,VN,BIZMAC-VN-AS,20926,1,22,1,0,0,0,True
131429,MOBIFONE Corporation,VN,MOBIFONE-AS-VN,1278,26,628,9,10,16,33,True
