asn1,asn2,num_sources,sources
7552,55311,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,55312,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,55318,5,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2
7552,55319,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,56141,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,56159,3,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2
7552,63731,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,63736,5,linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,63741,5,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2
7552,63742,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,63743,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,63747,5,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2
7552,131122,8,bknix.rib.20260104.0200.bz2;hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131123,5,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2
7552,131124,8,bknix.rib.20260104.0200.bz2;hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131126,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131127,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131128,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131129,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131131,8,bknix.rib.20260104.0200.bz2;hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131343,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131357,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131363,4,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2
7552,131364,5,linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131368,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131375,1,sg.rib.20260123.1800.bz2
7552,131379,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131380,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131389,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131396,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131401,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131405,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131409,8,bknix.rib.20260104.0200.bz2;hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131412,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131415,8,bknix.rib.20260104.0200.bz2;hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131423,1,sg.rib.20260123.1800.bz2
7552,131429,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131436,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131438,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,131439,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,135900,8,bknix.rib.20260104.0200.bz2;hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,135904,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,135924,6,hkix.rib.20260105.0800.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
7552,135925,7,hkix.rib.20260105.0800.bz2;kr.rib.20260130.2000.bz2;linx.rib.20260109.1000.bz2;rv4.rib.20260102.0000.bz2;sg.rib.20260123.1800.bz2;syd.rib.20260127.2200.bz2;wide.rib.20260127.1600.bz2
