asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member,topology_degree,topology_classification,betweenness_centrality,closeness_centrality
153428,TTP GROUP TECHNOLOGY TELECOMMUNICATION JOINT STOCK COMPANY,VN,TTPTELECOM-VN,49862.0,1.0,3.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.322215
153429,Le Quang Telecommunications Technology Company Limited,VN,BLATE-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153430,Quang Kim Digital Technology Investment and Development Company Limited,VN,TELEUPNET-VN,54093.0,1.0,1.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.386124
153431,LTL Digital Technology Company Limited,VN,LTL-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153433,IPA TECHNOLOGY SOLUTION JOINT STOCK COMPANY,VN,IPA-SOLUTIONS-VN,49862.0,1.0,2.0,2.0,0.0,0.0,0.0,True,2,Multi-homed,0.0,0.387879
153434,S GLOBAL TECHNOLOGY JOINT STOCK COMPANY,VN,BAV-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153435,Center for Information Technology and Cyber Security Monitoring,VN,KHG-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153436,Future AI LLC,VN,AITUONGLAI-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153437,,VN,AS153437,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153438,PHUONG NGA MY SUPPLY COMPANY LIMITED,VN,PNM-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153439,VPS4U TECHNOLOGY COMPANY LIMITED,VN,VPS4U-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1,Stub,0.0,0.386124
153440,BSTECH COMPANY LIMITED,VN,BSTECHCLOUD-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153441,LNS Technology Company Limited,VN,LNS-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153442,TYU Website Management Company Limited,VN,CNCTYU-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153443,VPSRE.NET LLC,VN,VPSRE-NET-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153444,H2 Service Consulting Company Limited,VN,DVH2VN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153445,Somi 168 Group International Joint Stock Company,VN,QTSOMIVN-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153446,VNONE Vietnam Company Limited,VN,VNONE-VN,78608.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0,Stub,0.0,0.0
153447,360 Technology and Services Company Limited,VN,CLOUD360-VN,30631.0,1.0,6.0,1.0,0.0,0.0,0.0,True,1,Stub,0.0,0.286034
