asn1,asn2
131126,45899
149156,7552
131348,45899
149120,18403
23899,38248
131127,55309
45896,56149
38731,7552
140765,18403
56149,63755
24088,7552
135905,135932
131357,56156
149096,24088
151868,45903
18403,63736
45543,45903
131368,45899
38738,45896
140825,153447
23899,56147
131425,135905
45899,63741
45899,55324
140814,38732
149149,18403
135910,18403
45553,45903
140766,150901
45544,45903
131353,38733
131127,24174
150857,45903
151863,38732
131343,18403
131375,23899
149157,45899
150836,45899
24173,7552
153683,38732
45899,63735
153403,18403
131428,38731
153539,18403
135915,38731
153429,18403
135905,63766
55306,7552
135956,7552
140762,38731
131418,131435
63747,7552
131371,18403
135988,38731
24173,45542
135994,38731
38253,45903
150830,18403
131360,45903
131386,38733
135952,45899
18403,38251
135952,24088
135949,45538
45899,63749
45541,7552
135905,45538
18403,38731
149062,18403
135958,38731
140787,38731
131421,149069
63736,7552
135983,45903
131436,45903
153320,18403
150894,38733
135972,45899
24066,45899
45903,63736
131349,18403
131365,18403
24035,7552
45543,45899
135905,7643
18403,63766
140832,38731
154144,45903
140748,45899
135964,140757
135967,38732
140796,18403
149069,45899
24173,24175
140818,18403
131391,45903
18403,55323
135981,38732
150872,18403
24173,63746
131131,7552
140761,18403
149074,45899
140761,7552
131396,18403
131396,7552
131383,18403
150895,152992
153004,45899
135962,24088
131128,18403
38735,45899
131351,55309
135933,18403
23962,45538
23899,7552
131378,38731
140770,45899
140769,45896
152981,18403
140739,18403
18403,38244
18403,63758
135905,135920
131348,18403
135977,135985
131408,45899
38731,45894
135947,63768
131439,38731
131408,24088
45903,63753
18403,63743
24088,38726
131429,38726
131360,24088
131401,7552
135913,18403
153428,63731
135982,7552
131429,63731
149096,18403
131372,18403
131421,153650
18403,55318
131421,131430
140770,150814
154406,45903
24173,38726
135986,38731
131127,45546
140775,18403
149085,38733
18403,55322
151903,45899
131429,152940
150820,38732
150905,7552
152994,18403
24085,45899
131440,38244
38731,55309
131387,18403
152968,45903
140759,45899
38730,45899
150824,18403
24088,55307
45543,56149
18403,23999
45899,63754
140742,38731
135932,18403
149107,7602
45903,55313
45557,7552
150869,45903
135906,18403
152978,18403
38730,45896
153651,45903
135918,38731
153433,45896
24089,45899
45899,7552
38731,56150
135938,45903
150888,45899
135934,45899
151913,45899
